reference,amount,status,created_at
REF-20260512082026,53896,failed,2026-05-12T08:20:26.055185
REF-20260512082126,74478,pending,2026-05-12T08:21:26.307074
REF-20260512082156,56547,reversed,2026-05-12T08:21:56.388606
REF-20260512082226,12820,pending,2026-05-12T08:22:26.484113
REF-20260512082256,65303,failed,2026-05-12T08:22:56.622510
REF-20260512082326,78020,success,2026-05-12T08:23:26.693573
REF-20260512082356,36650,pending,2026-05-12T08:23:56.701189
REF-20260512082426,40544,failed,2026-05-12T08:24:26.706670
REF-20260512082456,22635,failed,2026-05-12T08:24:56.721085
REF-20260512082526,60481,failed,2026-05-12T08:25:26.736136
REF-20260512082626,28443,timeout,2026-05-12T08:26:26.882693
REF-20260512082656,40915,failed,2026-05-12T08:26:56.964018
REF-20260512082727,10222,success,2026-05-12T08:27:27.142842
REF-20260512082757,25542,reversed,2026-05-12T08:27:57.223267
REF-20260512082827,24070,pending,2026-05-12T08:28:27.418675
REF-20260512082857,95243,failed,2026-05-12T08:28:57.492358
REF-20260512082927,76616,failed,2026-05-12T08:29:27.500062
REF-20260512083027,76889,failed,2026-05-12T08:30:27.517202
REF-20260512082957,94358,timeout,2026-05-12T08:29:57.509528
REF-20260512083127,88439,failed,2026-05-12T08:31:27.538694
REF-20260512083227,30323,reversed,2026-05-12T08:32:27.888787
REF-20260512083257,6068,failed,2026-05-12T08:32:57.961347
REF-20260512083328,40171,failed,2026-05-12T08:33:28.067380
REF-20260512083358,57275,failed,2026-05-12T08:33:58.148400
REF-20260512083428,3635,failed,2026-05-12T08:34:28.260600
REF-20260512083458,59801,failed,2026-05-12T08:34:58.454249
REF-20260512083558,75421,pending,2026-05-12T08:35:58.519781
REF-20260512083628,89543,failed,2026-05-12T08:36:28.529168
REF-20260512083728,89776,failed,2026-05-12T08:37:28.552085
REF-20260512083758,55440,timeout,2026-05-12T08:37:58.629418
REF-20260512083828,3514,pending,2026-05-12T08:38:28.844427
REF-20260512083858,47271,failed,2026-05-12T08:38:58.936518
REF-20260512083929,38511,reversed,2026-05-12T08:39:29.018638
REF-20260512083959,71974,failed,2026-05-12T08:39:59.115175
