reference,issue,amount,expected_amount,severity,date
REF-20260512082526,STATUS_MISMATCH,60481,,med,2026-05-12T08:25:26.736136
REF-20260512082556,MISSING_IN_MERCHANT,62060,,high,2026-05-12T08:25:56.813647
REF-20260512082626,AMOUNT_MISMATCH,28305,28443.0,med,2026-05-12T08:26:26.882693
REF-20260512082656,AMOUNT_MISMATCH,40621,40915.0,med,2026-05-12T08:26:56.964018
REF-20260512082727,AMOUNT_MISMATCH,10082,10222.0,med,2026-05-12T08:27:27.142842
REF-20260512082757,AMOUNT_MISMATCH,25069,25542.0,med,2026-05-12T08:27:57.223267
REF-20260512082857,STATUS_MISMATCH,95243,,med,2026-05-12T08:28:57.492358
REF-20260512083057,MISSING_IN_MERCHANT,7453,,high,2026-05-12T08:30:57.531658
REF-20260512083127,STATUS_MISMATCH,88439,,med,2026-05-12T08:31:27.538694
REF-20260512083157,MISSING_IN_MERCHANT,43165,,high,2026-05-12T08:31:57.688987
REF-20260512083328,AMOUNT_MISMATCH,39818,40171.0,med,2026-05-12T08:33:28.067380
REF-20260512083358,STATUS_MISMATCH,57275,,med,2026-05-12T08:33:58.148400
REF-20260512083428,STATUS_MISMATCH,3635,,med,2026-05-12T08:34:28.260600
REF-20260512083458,STATUS_MISMATCH,59801,,med,2026-05-12T08:34:58.454249
REF-20260512083528,MISSING_IN_MERCHANT,3089,,high,2026-05-12T08:35:28.498592
REF-20260512083558,AMOUNT_MISMATCH,74937,75421.0,med,2026-05-12T08:35:58.519781
REF-20260512083628,STATUS_MISMATCH,89543,,med,2026-05-12T08:36:28.529168
REF-20260512083658,MISSING_IN_MERCHANT,55895,,high,2026-05-12T08:36:58.542818
REF-20260512083728,STATUS_MISMATCH,89776,,med,2026-05-12T08:37:28.552085
REF-20260512083828,AMOUNT_MISMATCH,3200,3514.0,med,2026-05-12T08:38:28.844427
REF-20260512083858,STATUS_MISMATCH,47271,,med,2026-05-12T08:38:58.936518
REF-20260512083959,AMOUNT_MISMATCH,71543,71974.0,med,2026-05-12T08:39:59.115175
REF-DE620B01DAC8,MISSING_IN_MERCHANT,15000,,high,2026-05-10T21:12:34.345994
